

29/02/2024 14:46:41
Estação:SRVHOM01
Tipo:Produtos
Arquivo:C:\Users\Administrador.PLASSER\Documents\tecwin\teste\ImportandoTemp\intTecwin_2024-02-29.txt
Erro:
 29/02/2024 14:35- Inicio da importação do arquivo: C:\Users\Administrador.PLASSER\Documents\tecwin\teste\ImportandoTemp\intTecwin_2024-02-29.txt
Linha 383365: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 383637: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 386850: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 396192: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 397836: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 399345: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 399946: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 400057: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 407504: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 410189: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 410317: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 410764: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 410905: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 410986: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 414088: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 414940: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 417758: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 418630: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 418792: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 420548: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 420618: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 421351: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 421441: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 421532: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 427712: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 432759: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 432795: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 441914: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 443045: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 452662: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 453343: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 455215: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 463179: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 463354: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 463621: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 463759: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 463875: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 465771: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 467291: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 467383: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 467864: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 473579: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 477009: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 483852: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 483897: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 483942: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 484624: [Erro] A classificação atingiu o limite permitido pela máscara.
Linha 485083: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 485311: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 485695: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 485830: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 487485: [Erro] Código Tributação IPI(Saída) '' inválido

 29/02/2024 14:46- Fim da importação
